,0,,,
ALLTIME,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware
AMAGI,Information Technology,Information Technology,IT - Services,IT Enabled Services
AMANTA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AMBALALSA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AMIRCHAND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ANKITMETAL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
ANTELOPUS,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
ANTHEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
AQYLON,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
ARFIN,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
ARIHANT,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ARIS,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials
ARSSBL,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ASHIKA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ASTAR,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
ATHERENERG,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
ATLANTAELE,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AURIGROW,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AVAILFC,Financial Services,Financial Services,Finance,Other Financial Services
AYE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
BAJAJST,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
BATLIBOI,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
BCG,Information Technology,Information Technology,IT - Services,IT Enabled Services
BCPL,Industrials,Construction,Construction,Civil Construction
BEEKAY,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
BELLACASA,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
BELRISE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BENGALASM,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
BETA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BHARATCOAL,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
BI,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
BIMETAL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BIRLAPREC,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
BLACKROSE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
BLIL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
BLUESTONE,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
BLUSPRING,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
BMWVENTLTD,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
BNAGROCHEM,Services,Services,Commercial Services & Supplies,Trading & Distributors
BNALTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
BONLON,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
BORANA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
BOSCH-HCIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
BRIGHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
BTTL,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
BUILDPRO,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
CANHLIFE,Financial Services,Financial Services,Insurance,Life Insurance
CAPILLARY,Information Technology,Information Technology,IT - Software,Software Products
CCAVENUE,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
CEINSYS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
CEMPRO,Industrials,Construction,Construction,Civil Construction
CHEMBONDCH,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
CIFL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CLEANMAX,Utilities,Power,Power,Power Generation
CMPDI,Industrials,Construction,Construction,Civil Construction
CNL,Services,Services,Commercial Services & Supplies,Trading & Distributors
COCKERILL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
COHANCE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
COMFINTE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
CORONA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
CPEDU,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
CPPLUS,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
CRAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
CRIZAC,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
DAICHI,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DCMSIL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
DECNGOLD,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
DEVX,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
DIGITIDE,Information Technology,Information Technology,IT - Services,IT Enabled Services
DISAQ,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DRAGARWQ,Healthcare,Healthcare,Healthcare Services,Hospital
DSFCL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
EASTSILK,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
EBGNG,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
EFCIL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ELANTAS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ELCIDIN,Financial Services,Financial Services,Finance,Investment Company
ELITECON,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
ELLEN,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
ELPROINTL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
EMMVEE,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
EMPOWER,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ENRIN,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
EPACKPEB,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
EUROBOND,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
EUROPRATIK,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
EXCELSOFT,Information Technology,Information Technology,IT - Services,IT Enabled Services
FABTECH,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
FEDDERSHOL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
FERMENTA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
FINKURVE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
FISCHER,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
FRACTAL,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
FRONTSP,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
GANESHCP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
GANESHHOU,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
GAUDIUMIVF,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
GCSL,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
GEMAROMA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
GICL,Services,Services,Transport Services,Logistics Solution Provider
GKENERGY,Industrials,Construction,Construction,Civil Construction
GKSL,Healthcare,Healthcare,Healthcare Services,Hospital
GLOBECIVIL,Industrials,Construction,Construction,Civil Construction
GLOTTIS,Services,Services,Transport Services,Logistics Solution Provider
GNRL,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
GOODYEAR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
GRANDOAK,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
GRAUWEIL,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
GRAVISSHO,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
GROWW,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
GSPCROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
GVPIL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
HALDER,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
HALDYNGL,Industrials,Capital Goods,Industrial Products,Packaging
HALEOSLABS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
HAWKINCOOK,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware
HBESD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
HDBFS,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
HEALTHX,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
HGM,Information Technology,Information Technology,IT - Services,IT Enabled Services
HILINFRA,Services,Services,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
IBULLSLTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ICICIAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
IGCL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INA,Utilities,Power,Power,Power Generation
INDIQUBE,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
INDPRUD,Financial Services,Financial Services,Finance,Investment Company
INNOVISION,Services,Services,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
INVPRECQ,Industrials,Capital Goods,Industrial Products,Castings & Forgings
IVALUE,Information Technology,Information Technology,IT - Services,IT Enabled Services
IWP,Commodities,Forest Materials,"Paper, Forest & Jute Products",Forest Products
JAINREC,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
JARO,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
JAYKAY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
JKIPL,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
JSLL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
JSWCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
JSWDULUX,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
KALPATARU,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KAMAHOLD,Financial Services,Financial Services,Finance,Holding Company
KANCHI,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
KAVDEFENCE,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
KENNAMET,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
KIRANVYPAR,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
KIRLFER,Commodities,Metals & Mining,Ferrous Metals,Pig Iron
KLBRENG-B,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
KNAGRI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
KOTIC,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
KOTYARK,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
KOVAI,Healthcare,Healthcare,Healthcare Services,Hospital
KPL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
KRISHIVAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
KRISHNADEF,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
KSHINTL,Industrials,Capital Goods,Industrial Products,Cables - Electricals
KSR,Services,Services,Commercial Services & Supplies,Trading & Distributors
KWIL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
LAHOTIOV,Services,Services,Commercial Services & Supplies,Trading & Distributors
LANDSMILL,Services,Services,Commercial Services & Supplies,Trading & Distributors
LAXMIINDIA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
LEMERITE,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LENSKART,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
LGEINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
LOTUSDEV,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
LTM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
MADHAVIPL,Industrials,Construction,Construction,Civil Construction
MAFATIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MAJESAUT,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
MARKOLINES,Industrials,Construction,Construction,Civil Construction
MARSONS,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
MBEL,Industrials,Construction,Construction,Civil Construction
MCCHRLS-B,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
MEESHO,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
MEIL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
MENNPIS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MERCANTILE,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
METROGLOBL,Services,Services,Commercial Services & Supplies,Trading & Distributors
MIDWESTLTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
MMWL,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
MODINATUR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MODIS,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MONEYBOXX,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MWL,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
NATIONSTD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
